gender,age,yearsmarried,children,religiousness,education,occupation,rating
male,0.11473803099588642,0.09779829166605436,no,0.9932497026900631,0.6354588138418905,0.6641581617876806,0.9941285052373012
female,0.23666443624744882,0.6669217535186234,yes,0.25849102557498904,0.2720723470618459,0.009520314574206518,0.747758777190788
male,0.23587153438323782,0.26051806375015696,yes,0.7460816059488016,0.4560046588885224,0.6692633561099548,0.4974750488266352
female,0.6213315503147215,1.0,yes,0.9950948659769325,0.4559002557701889,0.6653639474450741,0.7464689498611188
female,0.11654843533123238,0.10473119381858624,yes,0.5049950597992999,0.4540509117604571,0.003769024110912539,0.9936983050030213
female,0.24076439001545336,0.09434719713011777,no,0.7494656070334207,0.7260495740603811,0.006195805302347673,0.49567718768293256
female,0.61817549276775,0.9925757476488767,no,0.9946328098164099,0.7257885391592015,0.8208997799182437,0.25338952593245734
female,0.4920663325389374,0.9894440424840188,yes,0.9890372536192655,0.4546428445847984,0.664473398993457,0.7457984344164494
female,0.8677565379918702,0.9906732200367968,yes,0.9933737058329724,0.4530178718452639,0.010897940292140335,0.9868191582936001
female,0.7426741801002908,0.990342833091445,yes,0.9913100193773019,0.4547501939056403,0.8244753920444352,0.9948545986729118
female,0.24264642366763234,0.09481040035954347,no,0.2564264220393955,0.6344592220993747,0.664060309334396,0.991298877110226
male,0.24217987664456053,0.047068787595968865,no,0.7517633953215268,0.633292828142667,0.6626962025819648,0.9937200910532404
female,0.11321229398421906,0.05020613917024749,no,0.25656025943384553,0.27160486341943046,0.011004297470955854,0.4965108744451684
female,0.6173715812227328,0.9942301801991742,yes,0.25957962441766,0.8154616646469953,0.6595316465419668,0.7444368699650127
male,0.2404542502848852,0.2593379542387831,yes,0.010637971324462647,0.632567126099732,0.4983289382488285,0.7468921520867292
male,0.23485186012426018,0.46321514773114947,yes,0.5076825816145781,0.6389370310546446,0.8346593431604857,0.49793224914914924
female,0.11467076337537085,0.09384007316922188,no,0.7494905414995094,0.4537598726155395,0.5021516582436858,0.9878573593607007
female,0.3661474041890045,0.4641624854390107,yes,0.7495399362056956,0.7258486488315122,0.6641946956425779,0.7451715205393084
female,0.11160614872484598,0.0981035893660375,no,0.26306607733733745,0.6313109124280599,0.6649384089249346,0.9922261431675357
female,0.11618277710502223,0.0957296879297159,no,0.4987084452589462,0.45467504451477125,0.004775828802340343,0.9972108504533614
male,0.2401001515221587,0.26291977515762543,no,0.015411892854647391,0.9972235994328095,0.6603328871867099,0.745614544366401
male,0.8699366006815231,0.9946001358189261,yes,0.7489380596933369,0.2720360636146538,0.16997924829873515,0.7461216888147507
male,0.11160840439470876,0.05113371669169363,no,0.26238619605939895,0.7242854270425573,0.8306084247377254,0.49528927879465934
female,0.11201305125904659,0.09429762655507411,no,0.25285115767452215,0.6325904815409432,0.6679095693140749,1.0
female,0.1126636442570037,0.04904637325047275,yes,0.2554524393987857,0.4531796325890626,0.004869809087379967,0.9893688345854359
female,0.11354246682914237,0.054118853393248886,no,0.25204029111564485,0.6355581269083329,0.6668384082005708,0.9877321225390245
male,0.8676083098550934,0.990818443961237,no,0.7484609574487109,0.6388869922979808,0.6658535962377525,0.9915159178641857
female,0.11305989251375914,0.09327667882389985,no,0.2590253080656404,0.45574628002615813,0.6705731130904317,0.9913094999724545
male,0.6202108334621065,0.9924040271228844,yes,0.25855645819180495,0.7257507807977762,0.3301184400921937,0.9935009894112834
female,0.11701049710808886,0.0428747191387624,no,0.7448217329466011,0.634584703006441,0.009433143837571711,0.9980036115446567
female,0.11080315641850014,0.260784140480728,no,0.742378905514051,0.45586069098739534,0.6653960710578285,0.991391369207046
male,0.10932400449648394,0.26339185747755095,no,0.2622373151000571,0.8139441383835003,0.6653059873754404,0.9925378787096304
female,0.11652149662565159,0.0939262037943658,no,0.5029602597012848,0.6376284277855643,0.6650006652083553,0.9916861824542644
male,0.23774867104408237,0.2639395309576724,yes,0.5059016779278731,0.6324642732107465,0.49865605705650917,0.9896032444637075
male,0.6167627585177299,0.1055192330967409,no,0.9872045242386438,0.9938338732063153,0.829576281740723,0.9929715265950401
male,0.621707837346653,0.9983417659303501,yes,0.7492697238594749,0.7248438749950429,0.8236691599374515,0.9927743792548751
male,0.23834435589760772,0.2550657523369627,yes,0.4999199553163568,0.6338634811483591,0.6617563709368399,0.9984397968983412
male,0.11674169638150189,0.09533814403300538,no,0.7426359295211301,0.4521047044072487,0.4994275460983275,0.9916332369958094
female,0.11683147825970963,0.08629972498404707,no,0.9892197965521927,0.4521495203104843,0.00422452693448519,0.7466007887240719
female,0.24046739621720703,0.26141121280128915,yes,0.49654291922770477,0.812255898266511,0.49726627305073057,0.9904755443223829
male,0.4893869745753435,0.9919078792400422,yes,0.7518791503650102,0.4547863707557461,0.3340792083120674,0.2483839038082796
female,0.1150020528845973,0.09218849032060321,no,0.25202068709965186,0.45100436772574415,0.6679674813717963,0.748552304389009
female,0.3679705549124672,0.9907552185363219,yes,0.5027498842129101,0.457029164404276,0.6707146270039543,0.4957291511960039
female,0.00416089468559977,0.665279217588277,no,0.7440634138590653,0.45257106161649496,0.5043922801549872,0.9946020192892708
female,0.1198490995705237,0.006859666453787568,no,0.2555794984497737,0.45502879253684003,0.4965452849150972,0.989831582644926
male,0.620336056422487,0.989359140423144,yes,0.7502139519827044,0.7258564324926763,0.6688767689018702,0.49733126769466574
male,0.49142316226027916,0.2646044749363103,yes,0.00948924244709276,0.8180329292300946,0.6656424442843707,0.7489666591092472
male,0.36424955418753324,0.09776198102071162,no,0.25266102551179825,0.8203697496890158,0.498826828317834,0.7421586923935423
male,0.494429274136302,0.9925583802562552,yes,0.7514429580485376,0.8163370165820799,0.6660440475635411,0.5000045871793531
female,0.1141969840291509,0.10446232286913797,no,0.7428029356830447,0.4507921008052155,0.6658725704978736,0.7489250362299559
female,0.3656417182017755,0.9899723274297917,yes,0.7523488070588178,0.2703810509229777,0.001642178498498792,0.9907592604744762
male,0.11435716588912892,0.26407396232223024,yes,0.7461944318958398,0.6325265574020805,0.6625304174177986,0.9896590711795321
male,0.2374408742403724,0.26012940532406414,yes,0.9973064582608318,0.725683064180875,0.17177894838852167,0.9902768546468339
male,0.4873422994634091,0.9957887015907557,yes,0.9960373870196686,0.8131744371179922,0.8265026926983957,0.9928320980716541
male,0.24117665800349763,0.02106046851929346,no,0.747044427960998,0.9971323681265373,0.6700231769070604,0.7454305857016651
male,0.3672273981616321,0.6550024450756127,no,0.9970243679729969,0.8126585444069091,0.8251497119229748,0.7440915495817082
male,0.11116648004345964,0.005507316017699433,no,0.011360678101932364,0.634485134083908,0.3313106522916549,0.9944607007449959
female,0.11673778285873115,0.09238949220452573,no,0.012458322346729028,0.45267098690336527,0.0018160879472579883,0.9951814383566455
female,0.3650311890432377,0.657389543453624,yes,0.011264284144290287,0.812715539280268,0.002381119708856627,0.7499735733631171
female,0.2407943094216678,0.4575228557127998,yes,0.5008142942541106,0.27442729369709185,0.003960440959550643,0.25325576228686086
female,0.23729216253567542,0.08970471660092014,yes,0.5078201017486073,0.8156336536791343,0.6630649281664477,0.2525966831264197
male,0.6154451826573487,0.9896658785393946,yes,0.2571799651275275,0.9971619649523514,0.8298783611788594,0.7476892980098534
female,0.743728112857344,0.9910179377237979,yes,0.750028232481442,0.7225807153172777,0.6617499888632389,0.9899901723796576
male,0.11700278318690027,0.0960712184857729,yes,0.5059256201424313,0.6387953229876765,0.6695957716730399,0.9923053948388716
female,0.11423270462412904,0.09700047703102177,no,0.7507907582279032,0.727340348707945,0.8284948859418343,0.9907209209708712
female,0.7411417581616339,0.9905381528549799,yes,0.9953912849251394,0.27282358721138367,0.668140878723161,0.7439067242697031
